Maquina;Consumo_kWh_por_hora;Consumo_diario_kWh;Consumo_semanal_kWh;Consumo_mensual_kWh;Consumo_anual_kWh
Lavadora deTunel;18;288;1728;7488;89856
Pintura electrostatica de tunel;15;240;1440;6240;74880
Trimac Cure Oven;40;640;3840;16640;199680
Power and Free Conveyors ;10;160;960;4160;49920
Sensores;0,1;1,6;9,6;41,6;499,2
Air conveyor ensamble;8;128;768;3328;39936
Computadores de escritorio (5 unidades);1,5;24;144;624;7488
Iluminacion bodega (3700 m^2);37;592;3552;15392;184704
Hub Filling Station;2;32;192;832;9984
Lacing Machine;3;48;288;1248;14976
Truing Machine;2,5;40;240;1040;12480
Tyre Mounting Machine;2;32;192;832;9984
Robot Fanuc CRX-25iA (con controlador y teach pendant);1,2;19,2;115,2;499,2;5990,4
TOTAL;140,3;2244,8;13468,8;58364,8;700377,6
Costo;$ 112.240,00;$ 1.795.840,00;$ 10.775.040,00;$ 46.691.840,00;$ 560.302.080,00
COP/KWh;800;;;;
